13	49	-54	53	-138	-49	32	-31	-78	-67	8	-92	29	51	-83	89	89	77	43	-25	-33	56	-37	62	-41	-106	20	35	9	43	-43	106	-64	-22	13	-83	27	-55	6	16	-48
-96	1	-73	29	-116	-118	-40	30	-130	-59	-25	-98	-105	51	-120	23	39	142	134	-61	-63	28	-74	77	-123	-158	34	-71	-35	83	-41	22	-50	-16	-51	-67	35	-71	0	-4	-74
-22	61	-92	-95	98	-67	-46	32	-142	-51	-15	-105	19	-209	124	-61	90	-36	103	46	-55	1	-32	49	54	-81	54	14	-40	53	-7	33	-66	17	32	-37	3	36	5	45	-18
-18	35	-71	-99	40	89	11	-49	-97	-3	3	82	-109	-96	-45	74	27	60	22	-34	84	73	-42	55	-63	-58	35	17	8	51	33	18	-46	19	30	-56	65	53	12	7	-25
-13	7	-69	2	66	-80	-78	11	-81	-41	-13	-106	-98	-152	-106	122	95	99	82	-56	-10	52	-15	61	-87	-54	9	-40	-6	-8	19	79	-27	3	31	-31	3	21	37	-36	-38
-15	95	-78	-80	49	-82	-51	-64	-128	-55	-23	-115	41	-155	-51	101	73	-42	92	82	-34	111	-57	73	106	-161	52	46	-20	107	-51	47	-65	-18	19	-27	37	82	-7	27	-75
-97	18	-82	-98	56	-92	-47	10	-119	-33	-13	126	15	-123	96	68	107	90	71	62	0	56	-27	54	-52	-63	-12	31	-9	83	30	18	-57	-17	11	-72	51	-53	-2	28	-1
-6	51	-78	-101	67	-64	-38	58	-22	-49	-24	-100	23	-116	111	-72	108	-44	124	64	-10	69	-86	48	63	-71	54	23	-37	44	-13	116	-68	13	25	-35	12	38	27	68	-14
-17	9	-32	7	43	-49	-52	25	18	-41	-24	-84	-4	-113	-71	68	45	-18	20	39	-32	2	-34	120	-90	-109	21	-39	-10	93	-63	127	-53	-33	37	-55	102	59	6	43	-55
-19	64	-88	-105	-98	-83	-28	48	-18	-53	-19	-95	33	-125	116	-51	87	-48	101	68	-12	67	-96	35	49	-118	36	37	27	54	-24	107	-57	13	32	-29	15	52	42	73	-1
-24	42	-98	-6	64	-78	-16	12	-93	-30	-17	-73	-106	-154	-97	112	55	99	82	18	114	109	-31	81	-119	-140	30	-31	25	28	-59	15	-65	-7	67	-79	7	51	9	5	-69
-30	-22	-71	-78	3	-50	-22	40	-127	-43	-15	127	25	20	100	-31	19	-39	54	53	-3	92	-41	77	-92	-161	12	39	6	84	-20	36	-59	-22	44	-75	109	64	0	7	-81
-28	23	-32	-12	28	-46	-50	16	21	-33	-21	-55	-8	-106	-32	81	51	-20	49	50	-31	7	-36	115	-84	-140	32	-33	-21	19	-54	118	-47	-20	57	-48	110	55	4	-38	-60
-102	-10	-105	-22	-146	-87	-28	27	-93	-87	-17	-104	35	-179	-110	103	38	-17	46	-77	89	62	-49	65	-49	-54	8	15	0	43	27	79	-34	-7	8	-23	62	31	38	14	-14
-35	0	-93	-15	-120	-92	-35	21	-101	-38	-31	-112	-3	39	-97	89	113	129	103	-48	-11	142	-101	133	-107	-161	50	-82	39	127	-40	32	-52	-24	71	-49	-6	93	-5	44	-59
-26	6	-89	-110	73	-70	-36	11	-18	-59	-15	-96	33	-122	105	-41	87	-39	105	63	-7	76	-117	32	68	-111	39	29	16	59	-18	113	-53	21	24	-38	4	43	33	67	-2
-19	6	-97	-87	84	-58	-76	-32	-105	-46	-86	-114	19	-121	93	-30	99	-36	78	53	1	131	-37	105	-117	-128	28	-64	-13	98	-69	37	-65	-53	51	-33	41	45	-9	46	-29
-102	17	-50	-95	54	-60	-45	35	-121	-28	-12	-110	43	-120	100	-58	94	94	70	50	2	20	-37	120	-98	-147	15	-42	-17	122	-21	29	-64	-12	62	-73	104	43	8	43	-35
-27	19	-85	-110	-136	-107	-20	17	-122	-117	-31	143	22	-172	143	76	109	103	78	-29	-45	56	-55	59	-56	-124	7	33	-3	75	38	85	-70	-31	7	-79	30	-68	-10	16	-33
-23	23	-109	-81	89	-46	-45	-31	-113	-47	-13	-102	20	-116	105	-15	41	-51	81	-21	-9	57	-46	56	-49	-125	19	23	5	56	-29	73	-61	-24	6	-78	25	-56	23	20	-37
-26	64	-85	-103	-111	-79	-38	44	-10	-50	-33	-97	30	-117	109	-45	95	-42	102	59	-12	80	-102	39	63	-116	37	35	27	49	-22	101	-65	19	20	-34	9	58	32	70	-1
-95	15	-65	2	-113	-119	-12	20	-136	-72	-13	-102	-105	56	-104	19	51	150	137	-62	-51	133	-37	104	-114	-138	32	-21	23	29	-65	16	-62	-18	68	-80	-3	44	0	14	-60
-19	25	74	-63	44	92	-18	-40	-91	-44	-6	-78	8	-101	-57	36	32	-25	38	-6	66	86	-24	110	-122	-132	56	-57	-6	89	-59	35	-74	-29	50	-47	105	55	3	24	-49
-23	12	-89	8	60	-86	-8	11	-90	-42	-11	-96	-104	-152	-115	117	94	100	79	-55	-19	136	-32	114	-122	-134	18	-52	-11	82	-68	47	-74	-32	52	-44	102	50	-16	30	-50
-101	3	-59	6	-111	-108	-19	14	-136	-83	-16	-86	-102	57	-103	14	43	153	140	-66	-56	125	-49	106	-114	-144	27	-30	21	33	-60	11	-60	-9	60	-80	7	64	6	5	-63
-4	26	88	-83	58	72	-4	-41	-63	-47	-38	-80	15	-127	-69	72	53	-49	17	-34	69	68	-93	51	-88	-82	53	-4	-6	52	-18	103	-60	-1	15	-38	21	44	34	73	-17
-24	11	-81	-67	4	-30	-35	54	-119	-11	-13	-75	14	-88	-87	-51	39	-57	77	-67	7	11	-49	105	-120	-146	23	-42	20	101	-54	44	-74	-39	50	-90	9	50	1	32	-19
-20	34	-95	-90	83	-64	-40	-22	-115	-53	-24	-105	7	-130	105	-32	40	-55	85	-27	-15	53	-54	50	-70	-129	15	6	-3	45	-25	77	-70	-34	7	-80	25	-53	2	20	-27
-11	-18	-66	-87	89	-64	3	10	-122	-35	-18	-73	-83	22	102	-58	67	-62	79	-53	0	140	-26	95	-121	-118	16	-35	-19	96	-68	28	-46	-43	46	-52	98	46	12	24	-58
-116	21	-118	5	-122	-97	-36	-36	-103	-28	-28	-117	-98	48	-73	98	122	110	109	-53	-15	55	-30	61	-64	-131	16	17	-2	51	-38	79	-81	-27	16	-65	25	-59	14	17	-41
-44	-1	-106	-28	-141	-75	-18	24	-90	-83	-8	-118	39	-194	-78	97	45	74	39	-65	95	71	-40	73	-52	-83	10	17	-3	37	-50	84	-43	-24	4	-28	54	26	27	10	-13
-7	14	-37	3	31	44	-31	8	21	-42	-41	-69	-1	-106	-29	86	46	-26	38	33	-17	53	-18	58	-70	-50	15	-41	-15	-3	25	84	-26	8	24	-33	-4	-69	41	-34	-42
-22	4	-84	-106	70	-74	-41	12	-23	-57	-15	-92	44	-164	-66	-38	101	-36	115	62	-3	82	-147	80	-102	-161	49	-65	-21	81	-79	142	-63	-40	64	-55	-5	47	-10	35	-63
-40	14	-86	-15	49	-62	-6	20	-94	-26	-30	-110	-106	-164	-103	127	95	98	72	-67	-38	137	-43	111	-103	-122	18	-63	-28	96	-76	40	-62	-36	37	-32	102	45	-1	30	-58
-21	28	74	-51	83	102	-15	-33	-86	-35	-7	-73	1	-102	-60	39	34	-25	32	6	73	64	-29	58	-86	-120	38	20	0	48	0	74	-69	-37	14	-50	30	-52	7	14	-42
