-87	-70	-4	12	48	-22	-18	33	37	36	-16	-26	-12	-15	-75	-32	-9	-21	-8	144	91	37	-206	307	202	83	214	613	-219	419	76	95	-182	-1421	73	-694	1863	-32	-25	-179	-26
-154	-15	-1	66	-6	24	28	-80	58	23	-29	-21	-26	-33	-108	-50	-14	-37	-118	247	174	78	-201	347	221	141	209	644	-226	442	129	88	-162	-1522	63	-763	1928	-24	17	-131	55
-155	-67	-7	35	43	-25	-13	29	45	41	-28	-24	-23	-12	8	-23	-18	-64	-27	149	92	50	-214	333	260	160	232	647	-221	477	93	47	-170	-1462	81	-686	1830	-43	-40	-185	-38
-167	-110	7	17	32	-18	24	-12	52	6	-24	-24	12	26	-83	-62	-19	-67	-117	234	53	94	-223	360	277	187	212	625	-257	409	117	98	-127	-1495	79	-736	1786	-27	19	-112	-8
-162	-75	-4	36	42	-13	-18	16	43	36	-20	-27	-4	-20	-79	-29	-14	-57	-13	152	87	47	-215	334	251	174	225	649	-212	478	92	54	-176	-1470	82	-693	1834	-43	-26	-192	-46
-106	-26	91	64	-17	61	18	-13	-20	68	-71	9	-87	-48	-123	-27	-24	-108	-113	315	122	70	-215	322	192	194	203	510	-217	431	121	71	-144	-1315	45	-564	1615	-17	-4	-154	-18
-205	-71	60	-21	94	60	55	-24	13	57	-69	-37	-55	-78	-127	-35	-42	-125	-260	400	155	65	-222	417	241	147	201	608	-242	460	102	123	-191	-1529	143	-691	2018	-39	-17	-209	-19
-183	-16	4	-10	15	55	-35	-35	26	45	-30	-32	18	-28	-58	-27	-32	-49	-101	176	88	106	-195	392	204	132	269	671	-247	460	114	128	-177	-1531	141	-696	2084	-53	-8	-216	-16
-182	-114	2	20	33	-41	21	-28	48	2	-28	64	22	34	-84	-9	-17	-69	-112	176	58	75	-226	335	262	171	234	648	-258	486	91	92	-154	-1460	81	-795	1839	-30	-31	-190	-42
-176	-90	63	-23	77	59	47	-33	-9	66	-87	-54	-43	-99	19	-37	-43	-139	-253	396	335	76	-210	410	238	162	200	613	-232	459	127	79	-188	-1535	124	-691	2017	-40	-16	-208	-16
-138	-65	10	5	24	-44	21	-6	3	79	92	-5	-54	16	-67	-39	15	-27	-47	250	59	89	-209	334	257	202	203	657	-231	430	107	105	-192	-1501	126	-718	2137	-34	5	-183	-37
-176	-26	-3	-21	27	54	-44	-32	21	39	-28	-39	23	-27	-63	-19	-30	-52	-104	174	87	92	-193	392	212	143	272	670	-250	461	110	124	-178	-1536	132	-693	2076	-56	-5	-203	-8
-157	-64	1	30	43	-18	22	14	6	34	-23	-28	-4	-16	-82	-35	-18	-54	-28	155	87	95	-208	368	251	189	222	614	-224	401	91	77	-168	-1550	86	-772	1661	-27	-15	-106	-31
-171	-114	6	18	32	-19	21	-15	41	1	-31	55	18	28	-80	-9	-24	-50	-120	227	51	91	-226	360	290	187	216	620	-263	416	118	100	-121	-1492	57	-775	1786	-27	20	-122	8
-151	7	1	46	39	-46	-20	15	29	26	-18	5	-19	-4	-80	-37	-4	-59	-59	157	104	103	-232	369	244	193	304	635	-275	503	139	97	-141	-1549	80	-731	1829	-44	-9	-190	28
-187	-17	16	56	6	62	1	-4	-10	11	-88	-28	-40	-35	-84	-9	-6	-55	-28	249	194	77	-192	366	227	158	228	649	-266	427	131	73	-139	-1492	81	-712	1782	-38	4	-131	46
-179	-94	-21	-14	76	44	-9	-52	12	76	-51	69	-19	-35	-207	-21	25	-85	-137	316	194	64	-159	354	227	155	253	626	-193	469	117	89	-159	-1604	96	-810	2042	-61	-34	-191	-23
-176	-131	-66	-10	61	-3	3	-57	15	58	-125	-28	-50	-29	-150	-13	-48	-113	-244	457	161	65	-243	316	258	169	230	588	-257	483	114	60	-121	-1453	75	-669	1829	-32	-12	-189	47
-167	9	18	57	5	62	9	4	39	65	-60	-28	21	-10	-58	-71	22	-75	-149	243	97	58	-213	299	185	169	224	599	-216	420	120	71	-170	-1414	75	-696	1807	-34	-11	-116	-21
-164	-97	4	66	-8	35	28	-74	15	15	-20	-21	-36	-35	-103	-27	-25	-32	-123	250	178	74	-200	353	222	139	216	638	-232	425	125	103	-172	-1502	66	-765	1930	-26	25	-133	53
-77	6	-31	-6	19	67	-7	-26	26	40	-66	-24	-40	-11	-54	-76	26	-89	-145	240	94	59	-225	303	260	179	210	599	-231	449	89	70	-153	-1406	79	-666	1811	-17	-5	-103	34
-168	-94	2	-31	51	38	-7	-60	40	62	-52	-57	-126	-37	-213	-4	-28	-76	-143	312	202	80	-236	385	249	173	304	661	-278	370	118	123	-115	-1549	95	-712	1816	-41	-7	-198	14
-164	13	12	36	-7	69	13	5	41	1	-68	-20	-42	-14	-62	-61	31	-72	-138	237	91	56	-212	324	206	161	222	600	-238	417	124	97	-163	-1421	88	-700	1810	-28	-14	-112	-30
